Timestamp_ms,Couleur,X_center,Y_center
510,Blanc,17,164
510,Blanc,100,187
510,Blanc,556,189
644,Blanc,16,173
644,Blanc,101,189
644,Blanc,557,189
669,Blanc,174,276
669,Blanc,17,165
669,Blanc,100,187
669,Blanc,555,189
701,Blanc,17,168
701,Blanc,105,197
701,Blanc,555,189
733,Blanc,15,182
733,Blanc,105,197
733,Blanc,555,189
765,Blanc,502,180
765,Blanc,15,181
765,Blanc,101,189
765,Blanc,556,189
797,Blanc,17,167
797,Blanc,101,189
797,Blanc,553,189
827,Blanc,15,181
827,Blanc,105,197
827,Blanc,553,188
876,Blanc,17,166
876,Blanc,105,197
876,Blanc,553,189
910,Blanc,15,182
910,Blanc,105,197
910,Blanc,554,189
951,Blanc,17,167
951,Blanc,105,197
951,Blanc,554,189
987,Blanc,15,179
987,Blanc,101,189
987,Blanc,553,189
1017,Blanc,15,179
1017,Blanc,101,189
1017,Blanc,553,189
1047,Blanc,15,182
1047,Blanc,105,197
1047,Blanc,552,189
1078,Blanc,15,180
1078,Blanc,105,197
1078,Blanc,552,188
1110,Blanc,15,182
1110,Blanc,104,197
1110,Blanc,554,188
1142,Blanc,16,172
1142,Blanc,105,197
1142,Blanc,554,189
1174,Blanc,15,180
1174,Blanc,105,197
1174,Blanc,553,188
1207,Blanc,17,169
1207,Blanc,105,197
1207,Blanc,553,190
1240,Blanc,17,164
1240,Blanc,100,187
1240,Blanc,552,188
1273,Blanc,16,170
1273,Blanc,104,197
1273,Blanc,552,188
1320,Blanc,16,171
1320,Blanc,100,190
1320,Blanc,553,190
1349,Blanc,17,167
1349,Blanc,100,187
1349,Blanc,554,189
1379,Blanc,15,181
1379,Blanc,100,189
1379,Blanc,552,188
1407,Blanc,15,177
1407,Blanc,100,189
1407,Blanc,553,189
1440,Blanc,17,167
1440,Blanc,100,189
1440,Blanc,553,189
1473,Blanc,15,180
1473,Blanc,104,197
1473,Blanc,553,188
1505,Blanc,15,180
1505,Blanc,104,197
1505,Blanc,552,189
1536,Blanc,102,196
1536,Blanc,550,188
1570,Blanc,15,178
1570,Blanc,100,189
1570,Blanc,552,189
1599,Blanc,15,179
1599,Blanc,100,189
1599,Blanc,552,189
1632,Blanc,17,168
1632,Blanc,104,197
1632,Blanc,553,189
1665,Blanc,15,180
1665,Blanc,100,189
1665,Blanc,552,189
